Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
China,11748,XIN LONG 8,China,(ZHE)CHUAN DENG(JI)(2018)FT-200222,BZUN3,NONE,Zhoushan,"ZHEJIANG XINLONG OCEAN FISHERY CO.,LTD","shanyin Road,yuecheng District,Shaoxing,zhejiang china",QI YONGFU,China,NONE,BZUN3,Triton:  524933,China,2018,Longliner,20,Longlines (not specified),44.12,Overall,Meters,3.9,Meters,7.7,Meters,496,GT,960,KW,PLATE,3,MT/DAY,3,210,MT,LONG LINER,No.GH-0523(2018)Guoyu(gong),Pacific Ocean,"South Albacore, By-Catch:other tuna and tuna-like species",30-Oct-18,31-Mar-21,NOT APPLICABLE,9870604,YES,NO,,,,,
China,11749,XIN LONG 9,China,(ZHE)CHUAN DENG(JI)(2018)FT-200223,BZUN4,NONE ,Zhoushan,"ZHEJIANG XINLONG OCEAN FISHERY CO.,LTD","shanyin Road,yuecheng District,Shaoxing,zhejiang china",JIAN HAIBO,China,NONE,BZUN4,Triton:  525175,China,2018,Longliner,20,Longlines (not specified),44.12,Overall,Meters,3.9,Meters,7.7,Meters,496,GT,960,KW,PLATE,3,MT/DAY,3,210,MT,Longliner,No.GH-0524(2018)Guoyu(gong),Pacific Ocean,"South Albacore, By-Catch:other tuna and tuna-like species",30-Oct-18,31-Mar-21,NOT APPLICABLE,9870616,YES,NO,,,,,
China,10404,ZHONG YANG 18,China,(ZHE)CHUAN DENG(JI)(2016)FT-200019,BZXD73,NONE,Zhoushan,"ZHEJIANG XINLONG OCEAN FISHERY CO.,LTD","shanyinRoad,Yuecheng District,Shaoxing,zhejiang,china",Liu Chaohui,China,none,BZXD73,Triton: 519462,China,2012,Longliner,15,Longlines (not specified),38.22,Overall,Meters,3.8,Meters,7,Meters,317,GT,720,KW,,,,,188,MT,Longliner,No.GH-0113(2019)Guoyu(gong),Western and Central Pacific Ocean,"Albacore, By-Catch:tuna and other tuna-like species",01-Apr-19,31-Mar-99,Not specified,9671759,YES,YES: CCM-Flagged,Kiribati Fish Limited,Kiribati,"Betio,Tarawa,KI","Tuesday, August 2, 2016","Saturday, December 31, 2016"
China,10405,ZHONG YANG 19,China,(ZHE)CHUAN DENG(JI)(2016)FT-200018,BZXD74,NONE,Zhoushan,"ZHEJIANG XINLONG OCEAN FISHERY CO.,LTD","shanyinRoad,Yuecheng District,Shaoxing,zhejiang,china",JIANG ZHANHAI,China,none,BZXD74,Triton: 519574,China,2012,Longliner,16,Longlines (not specified),38.22,Overall,Meters,3.8,Meters,7,Meters,317,GT,720,KW,,,,,188,MT,Longliner,No.GH-0114(2019)Guoyu(gong),Western and Central Pacific Ocean,"Albacore,By-Catch:tuna and other tuna-like species",01-Apr-19,31-Mar-99,Not specified,9671761,YES,NO,,,,,
China,10407,ZHONG YANG 28,China,(ZHE)CHUAN DENG(JI)(2016)FT-200017,BZXD76,NONE,Zhoushan,"ZHEJIANG XINLONG OCEAN FISHERY CO.,LTD","shanyinRoad,Yuecheng District,Shaoxing,zhejiang,china",Wang Bingyong,China,none,BZXD76,Triton: 519580,China,2012,Longliner,16,Longlines (not specified),38.22,Overall,Meters,3.8,Meters,7,Meters,317,GT,720,KW,,,,,188,MT,Longliner,No.GH-0115(2019)Guoyu(gong),Western and Central Pacific Ocean,"Albacore, By-Catch:tuna and other tuna-like species",01-Apr-19,31-Mar-99,Not specified,9671785,YES,YES: CCM-Flagged,Kiribati Fish Limited,Kiribati,"Betio,Tarawa,KI","Tuesday, August 2, 2016","Saturday, December 31, 2016"
China,11178,ZHELINGYU69187,China,(ZHETAI)CHUANDENG(JI)(2013)HY-100373,412416279,NONE,Wenling,ZHENG YUNFANG,"SONGJIAOXI ROAD NO.25, SHITANG TOWN,WENLING CITY ",ZHENG YUNFANG,China,NONE,412416279,412416279,China,2012,Purse seiner,26,,48.8,Registered,Meters,4.2,Meters,8.8,Meters,498,GT,440,KW,ICE,,,,149,MT,NOT APPLICABLE,(ZHE)CHUANBU(2014)HY-101212,NOT APPLICABLE,,18-Jun-14,17-Jun-19,NO,,NO,NO,,,,,
Chinese Taipei,1217,NAN SING,Chinese Taipei,CT3-4025,BK6025,MAAN CHUEN FWU NO.26,Hualien,"ZHENG, ZHENG-AI","No.21, Minheng Rd., Chenggong Township, Taitung County 961, Taiwan (R.O.C.)","JENQ, GWO-SHING",Chinese Taipei,None,BK6025,"Inmarsat C(441600118)	
Satelite Phone: 002-63989020902
",Chinese Taipei,1983,Tuna longliner,10,Longlines (not specified),19.8,Overall,Meters,1.9,Meters,3.81,Meters,31.28,GT,573,HP,Ice,0,Na,0,10,CuM,NONG TE YU YAN 108-,1504,Pacific Ocean,Tuna and Tuna-like,08-May-19,07-May-24,NOT APPLICABLE,,NO,NO,,,,,
Fiji,10026,ZHONG DA 5,Fiji,981,3DNS,N/A,Suva,"Zhong Da Co.,Ltd","P O BOX 13356, SHED # 13 MUAIWALU COMPLEX,
SUVA, FIJI ISLANDS

",Xu Wenqing,China,N/A,3DNS,GWD013-054-071409,China,2011,Longliner,15,Longlines (not specified),39.6,Overall,Meters,3,Meters,6,Meters,264,GRT,480,KW,Blast,120,CuM,5,140,CuM,Authorisation to fish beyond FIji fisheries waters,FJHSFA0083,High Seas,Tuna,02-Feb-18,01-Feb-21,NOT APPLICABLE,9639086,NO,NO,,,,,
Fiji,5167,ZHONG DA 2,Fiji,394,3DYA,N/A,Suva,Zhong Da Company Limited,"ZHONGDA COMPANY LIMITED
P.O.BOX 2036, GOVERNMENT BUILDINGS
SUVA
FIJI ISLANDS

",Xu Xioaning,China,N/A,3DYA,INMARSAT C: 452007511,China,2003,Tuna longliner,13,Longlines (not specified),30.45,Overall,Meters,2.85,Meters,6.2,Meters,136,GRT,220,KW,Brine,80,CuM,6,47,MT,"Authorisation to fish beyond Fiji fisheries waters, Licence to fish within Fiji fisheries waters","FJHSFA0019, FJ/LIC-FFW-0159","High Seas, Fiji EEZ",Tuna,02-Feb-18,01-Feb-21,NOT APPLICABLE,8748957,NO,NO,,,,,
China,10856,ZHE DAI YU 12121,China,(ZHEDAI)CHUANDENG(JI)(2014)HY-100480,412425421,NONE,Zhoushan,Zhong Rongyang ,"Zhejiang  Daishanxian  gaotingzhen jiashanong NO.149
",Zhong Rongyang ,China,none,412425421,"AISï¼š412425421
",China,2000,Purse seiner,15,,35,Registered,Meters,3.1,Meters,6.6,Meters,179,GT,258,KW,,,,,57,MT,light-purse seine ,(Zhezhou)Chuanbu(2015)HY-101250 ,National Jurisdiction in East China Sea,,12-May-15,11-May-20,Not specified,,,NO,,,,,
Chinese Taipei,11826,HSING MAN YI NO.2,Chinese Taipei,CT6-1504,BH3504,NONE,Kaohsiung,"ZHONG YI FISHERIES CO., LTD"," 1F., No.53, Ln. 199, Mingli Rd., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.) ","KAO ,CHEN-TSUNG",Chinese Taipei,NONE,BH3504,Satellite telephone number: 002-8816-21433581,Chinese Taipei,2019,Tuna longliner,27,Longlines (not specified),39.65,Overall,Meters,2.6,Meters,8.2,Meters,307,GT,1032,HP,other (Frozen),80,HP,3,562,CuM,YUAN YAN 108-,2419,Pacific Ocean,Tuna and Tuna-like,12-Jun-19,11-Jun-23,NOT APPLICABLE,9887138,YES,NO,,,,,
China,1251,ZHONG TAI NO.1,China,(JI)CHUANDENG(JI)(2016)FT-200005,BZZW4,GHING FENG 867,Qinhuangdao,ZHONG YU GLOBAL SEAFOOD CORP,"Building 19, Block 18, 188 West Road, South 4th Ring Road,Fengtai District Beijing China",QIU GUOJUN,China,Chinese Taipei,BZZW4,IMNï¼š441303412,Chinese Taipei,1991,Tuna purse seiner,30,Seine nets (not specified),66.23,Registered,Meters,4.55,Meters,11.8,Meters,"1,087.00",GT,2205,KW,air(blast) and brine,100,MT/day,4,1383,CuM,P.S.,No. GH-0084 (2018)Guoyu(gong),Western and Central Pacific Ocean,tuan and tuna-like species,01-Jan-19,31-Dec-19,Not specified,8995457,,YES: CCM-Flagged,Kiribati Fish Limited,Kiribati,"Betio, Tarawa, Kiribati","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
China,165,FENG SHUN NO.3,China,(JI)CHUANDENG(JI)(2014)FT-200083,BZYE7,NONE,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH  BUILDING 19ï¼Œ BLOCK 18ï¼Œ 188WEST ROAD,SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING CHINA",LIN JUN HUA,China,NONE,BZYE7,441200177,Japan,1987,Tuna longliner,30,,48.3,Overall,Meters,3.9,Meters,9,Meters,468,GT,1100,KW,,,,,194,,Longliner,GH-0022(2015)GUOYU(GONG),,tuna,26-Jan-15,31-Mar-18,Not specified,8617835,YES,NO,,,,,
China,167,FENG SHUN NO.5,China,(JI)CHUANDENG(JI)(2014)FT-200082,BZYE9,NA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH  BUILDING 19ï¼Œ BLOCK 18ï¼Œ 188WEST ROAD,SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING CHINA",LIU GUO WEI,China,NA,BZYE9,c,Korea (Republic of),1992,Tuna longliner,30,,48,Overall,Meters,3.75,Meters,8.9,Meters,603,GT,1029,KW,,,,,516,,GH-0023(2015)GUOYU(GONG),,,tuna,26-Jan-15,31-Mar-18,Not specified,,YES,NO,,,,,
China,168,FENG SHUN NO.6,China,(JI)CHUANDENG(JI)(2014)FT-200081,BZYF3,NA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH  BUILDING 19ï¼Œ BLOCK 18ï¼Œ 188WEST ROAD,SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING CHINA",Zhan ZeYong ,China,NA,BZYF3,Inmarsat M: 762740969,Korea (Republic of),1992,Tuna longliner,30,,48,Overall,Meters,3.75,Meters,8.9,Meters,603,GT,1029,KW,,,,,516,MT,,No.GH-0505(2014)Guoyu(gong) ,,tuna,01-Apr-14,31-Mar-17,Not specified,,YES,NO,,,,,
China,158,JIN FENG NO.2,China,13-000049,412689640,NONE,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH FLOOR BUILDING 19ï¼Œ BLOCK 18ï¼Œ188 WESTROAD, SOUTH 5TH RING ROAD FENGTAI DISTRICT BEIJING",sun yu hei,China,NONE,412689640,c,Japan,1978,Tuna longliner,25,,44.35,Overall,Meters,3.53,Meters,8.4,Meters,507,GT,809,KW,,,,,456,CuM,GH-0293,,,tuna,20-Mar-13,31-Mar-16,Not specified,,YES,NO,,,,,
China,172,SHUN CHANG NO.4,China,(JI)CHUANDENG(JI)(2014)FT-200088,BZYF6,NA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH FLOOR BUILDING 19ï¼Œ BLOCK 18ï¼Œ188 WESTROAD, SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING  ",li yao,China,NA,BZYF6,412689760,Japan,1986,Tuna longliner,30,,56.3,Overall,Meters,3.9,Meters,9.1,Meters,703,GT,1029,KW,,,,,109,CuM,,No.GH-0507(2012) Guoyu(gong),,tuna,01-Apr-14,31-Mar-17,Not specified,8514356,YES,NO,,,,,
China,1246,SHUN CHANG NO.5,China,(JI)CHUANDENG(JI)(2014)FT-200088,BZYF6,NA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH FLOOR BUILDING 19ï¼Œ BLOCK 18ï¼Œ188 WESTROAD, SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING  ",LI peng,China,NA,BZYF6,412689770,Japan,1992,Tuna longliner,25,,42,Overall,Meters,3.15,Meters,7.4,Meters,354,GT,625,KW,,,,,221,CuM,GH-0026(2015)GUOYU(GONG),,,tuna,26-Jan-15,31-Mar-18,Not specified,9062623,YES,NO,,,,,
China,1248,SHUN CHANG NO.7,China,(JI)CHUANDENG(JI)(2014)FT-200089,BZYF8,ã€€ã€€OYAMA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH FLOOR BUILDING 19ï¼Œ BLOCK 18ï¼Œ188 WESTROAD, SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING       ",LILI,China,Japan,BZYF8,441200187,Japan,1985,Tuna longliner,25,,49.39,Overall,Meters,3.8,Meters,8.8,Meters,620,GT,698,KW,,,,,110,CuM,,GH-0027(2015)GUOYU(GONG),,tuna,26-Jan-15,31-Mar-18,Not specified,8802442,YES,NO,,,,,
China,1249,SHUN CHANG NO.8,China,(JI)CHUANDENG(JI)(2014)FT-200090,BZYF9,NA,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"7TH FLOOR BUILDING 19ï¼Œ BLOCK 18ï¼Œ188 WESTROAD, SOUTH 4TH RING ROAD FENGTAI DISTRICT BEIJING   ",HU MI JUN,China,NA,BZYF9,412689810,Japan,1984,Tuna longliner,25,,48.03,Overall,Meters,3.8,Meters,8.7,Meters,590,GT,698,KW,,,,,,,,GH-0028(2015)GUOYU(GONG),,tuna,26-Jan-15,31-Mar-18,Not specified,8021036,YES,NO,,,,,
China,8834,ZHONG TAI NO.2,China,(JI)CHUANDENG(JI)(2014)FT-200094,BZZW9,CASTEL BRAZ,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"Building 19, Block 18, 188 West Road, South 4th Ring Road,Fengtai District Beijing China",LU HANPING,China,HOLLAND,BZZW9,IMNï¼š441219056 ISNï¼š4ï¼´ï¼´ï¼ï¼˜ï¼™Bï¼™67ï¼˜6 MTU serial number: 08103357 MTU Make: THRANE&THRANE MTU Model: TT-3026S MTU SOFTWARE VERSION: V2.21,Spain,1992,Tuna purse seiner,32,,70.65,Registered,Meters,8.9,Meters,13.5,Meters,"2,109.00",GT,4800,KW,,,,,1919,MT,Single Purse Seiner,No. GH-0447 (2014)Guoyu(gong) ,Western and Central Pacific Ocean,Tuna and tuna-like species,20-Mar-14,31-Mar-17,Not specified,8919477,,NO,,,,,
China,4518,ZHONG TAI NO.3,China,(JI)CHUANDENG(JI)(2019)FT-200014,BZZY8,HF NO.88,Qinhuangdao,ZHONGYU GLOBAL SEAFOOD CORP.,"Building 19, Block 18, 188 West Road, South 4th Ring Road,Fengtai District Beijing China",LU HANPING,China,Vanuatu,BZZY8,FARIA WATCHDOG: GWD 013-001-101618,Chinese Taipei,2002,Tuna purse seiner,35,Seine nets (not specified),70.59,Registered,Meters,7.25,Meters,12.3,Meters,"1,284.00",GT,2352,KW,air(coils)  and brine,100,MT/day,4,1476,CuM,Single Purse Seiner,No. GH-0085 (2018)Guoyu(gong) ,WESTEN AND CENTRAL PACIFIC OCEAN,Tuna and tuna-like species,01-Apr-18,31-Mar-21,Not specified,9261528,,YES: CCM-Flagged,Kiribati Fish Limited  ,Kiribati,"Betio, Tarawa, Kiribati","Tuesday, January 1, 2019","Tuesday, December 31, 2019"
China,5942,ZHOU YUAN YU 202,China,(ZHE)CHUANDENG(JI)(2018)FT-200104,BZ7UM,NA,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",WANG HONG JUN,China,NA,BZ7UM,Triton:516417,China,2006,Tuna longliner,30,Longlines (not specified),48.7,Registered,Meters,3.65,Meters,8.5,Meters,646,GT,735,KW,PLATE,4,MT/day,3,250,MT,LONGLINE,No.GH-0334(2018)Guoyu(gong),Pacific ocean,TUNA,11-Jun-18,31-Mar-21,Not specified,8797386,YES,NO,,,,,
China,11700,ZHOU YUAN YU 2601,China,(ZHE)CHUANDENG(JI)(2018)FT-200098,BZUQ9,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",HU ZHI EN,China,NONE,BZUQ9,CLS Triton:516230,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,Longline,No.GH-0432(2018)Guoyu(gong),Pacifc Ocean,"South Albacore, By-Catch tuna and other tuna-like species",02-Jul-18,31-Mar-21,Not specified,9861392,YES,NO,,,,,
China,11701,ZHOU YUAN YU 2602,China,(ZHE)CHUANDENG(JI)(2018)FT-200099,BZUR2,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",WENG BIN,China,NONE,BZUR2,CLS Triton:516465,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,Longline,No.GH-0433(2018)Guoyu(gong),Pacific ocean,South albacore;By-Catch:other tuna and tuna-like species,02-Jul-18,31-Mar-21,Not specified,9861419,YES,NO,,,,,
China,11702,ZHOU YUAN YU 2605,China,(ZHE)CHUANDENG(JI)(2018)FT-200100,BZUR3,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",ZHONG MAN NIAN,China,NONE,BZUR3,CLS Triton:523290,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,Longline,No.GH-0434(2018)Guoyu(gong),Pacifc Ocean,South albacore;By-Catch:other tuna and tuna-like species,02-Jul-18,31-Mar-21,Not specified,9861421,YES,NO,,,,,
China,11703,ZHOU YUAN YU 2606,China,(ZHE)CHUANDENG(JI)(2018)FT-200101,BZUR4,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",LE CUN LIANG,China,NONE,BZUR4,CLS Triton:516140,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,Longline,No.GH-0435(2018)Guoyu(gong),Pacifc Ocean,South albacore;By-Catch:other tuna and tuna-like species,02-Jul-18,31-Mar-21,Not specified,9861433,YES,NO,,,,,
China,11704,ZHOU YUAN YU 2607,China,(ZHE)CHUANDENG(JI)(2018)FT-200102,BZUR5,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",SUN SONG XIANG,China,NONE,BZUR5,CLS Triton:516239,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,Longline,No.GH-0436(2018)Guoyu(gong),Pacifc Ocean,South albacore;By-Catch:other tuna and tuna-like species,02-Jul-18,31-Mar-21,Not specified,9861445,YES,NO,,,,,
China,11705,ZHOU YUAN YU 2608,China,(ZHE)CHUANDENG(JI)(2018)FT-200103,BZUR6,NONE,Zhoushan,"Zhoushan Haihong Ocean Fisheries CO., LTD","No.1-3 Shanghui Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province",WENG KAI PING,China,NONE,BZUR6,CLS Triton:523289,China,2018,Longliner,20,Longlines (not specified),41,Registered,Meters,3.8,Meters,7.6,Meters,455,GT,882,KW,PLATE,3,MT/day,3,200,MT,longline,No.GH-0437(2018)Guoyu(gong),Pacifc Ocean,South albacore;By-Catch:other tuna and tuna-like species,02-Jul-18,31-Mar-21,Not specified,9861457,YES,NO,,,,,
